Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Soil scientist,Finance,Increasing,Moderate,122626.9,High School,20,1257,9209,54.1,18.53,UK,27.41
Advertising art director,Transportation,Increasing,Low,57773.48,High School,0,1770,179,38.77,52.61,Germany,43.24
"Therapist, drama",Entertainment,Decreasing,Low,106261.56,PhD,15,3526,3918,97.53,82.07,China,55.47
Training and development officer,IT,Decreasing,High,92425.69,Associate Degree,1,4095,7430,65.9,32.52,UK,73.75
Manufacturing engineer,Manufacturing,Decreasing,Low,101937.5,Bachelor’s Degree,11,2223,6931,55.76,25.91,Germany,62.93
"Engineer, production",Transportation,Increasing,Low,72017.08,High School,13,3455,6304,74.51,72.51,Germany,61.56
Metallurgist,Healthcare,Decreasing,Low,97189.08,Master’s Degree,2,368,3314,46.78,31.41,China,45.75
"Scientist, physiological",Transportation,Decreasing,Moderate,97488.71,Bachelor’s Degree,16,4858,2119,97.44,2.75,Germany,37.88
Physiological scientist,Retail,Decreasing,Low,101508.25,PhD,17,473,9308,65.13,78.63,India,59.27
"Engineer, electronics",Manufacturing,Decreasing,Low,88417.05,High School,20,7249,7260,37.41,83.26,Australia,32.49
Ambulance person,Retail,Decreasing,Moderate,106636.06,Master’s Degree,12,1386,5958,19.22,20.14,UK,79.42
"Engineer, communications",Retail,Increasing,High,99020.78,Associate Degree,14,3122,9502,68.37,12.61,Australia,30.1
Ranger/warden,Healthcare,Increasing,Low,80465.59,High School,16,6748,2676,46.55,89.44,Germany,65.54
Museum/gallery exhibitions officer,Education,Decreasing,Low,70612.3,Associate Degree,1,7492,6053,32.59,69.67,USA,52.78
Phytotherapist,Healthcare,Increasing,Low,86434.39,PhD,5,2118,2010,76.05,80.83,Germany,71.07
"Therapist, sports",Entertainment,Increasing,Low,104844.17,PhD,0,7197,8547,10.23,35.39,Brazil,45.66
Counselling psychologist,Manufacturing,Decreasing,Low,75743.15,High School,1,9072,9561,31.65,36.28,USA,76.68
"Exhibitions officer, museum/gallery",Entertainment,Decreasing,Moderate,75553.4,High School,14,3983,6364,91.78,89.08,USA,48.74
Energy engineer,Finance,Increasing,Moderate,124781.79,PhD,20,5175,5823,49.59,75.33,India,26.42
Commercial horticulturist,Finance,Increasing,High,87565.3,Associate Degree,3,5303,1689,59.82,61.73,China,45.75
Artist,Entertainment,Increasing,Low,74692.24,Associate Degree,12,9439,8971,65.87,77.0,Germany,21.95
Teaching laboratory technician,Finance,Decreasing,Moderate,149291.15,PhD,19,1682,9748,34.75,13.08,Canada,68.7
Drilling engineer,IT,Increasing,High,113977.88,Master’s Degree,3,6751,3038,95.91,19.92,China,25.79
Video editor,IT,Increasing,Low,133840.09,PhD,6,709,3330,3.82,46.13,UK,68.25
Location manager,Education,Increasing,Moderate,104566.33,PhD,18,4632,7371,60.54,76.8,Canada,46.97
"Engineer, mining",Healthcare,Decreasing,High,105473.84,Bachelor’s Degree,11,3180,6203,19.71,24.98,China,44.67
Engineering geologist,IT,Decreasing,High,116060.47,Master’s Degree,0,1763,8273,45.47,0.0,Australia,25.48
Fashion designer,Retail,Increasing,Low,85682.79,PhD,7,8462,1177,68.74,93.67,Australia,42.09
"Surveyor, hydrographic",Entertainment,Increasing,High,79552.02,Associate Degree,1,9615,8166,2.79,30.4,China,36.92
Management consultant,Transportation,Decreasing,Moderate,76705.56,Bachelor’s Degree,9,6590,4669,59.54,83.49,Australia,30.74
Water quality scientist,Finance,Decreasing,Moderate,107598.28,Master’s Degree,8,3415,9296,51.68,53.82,China,32.73
Psychiatric nurse,Manufacturing,Increasing,High,106492.25,PhD,6,4433,1463,4.07,30.38,Canada,41.91
"Designer, fashion/clothing",Healthcare,Decreasing,Moderate,89300.74,Associate Degree,10,5813,4072,5.04,11.83,UK,37.07
"Surveyor, insurance",Education,Decreasing,High,88603.02,High School,15,4931,7068,44.9,19.31,Germany,63.53
"Journalist, magazine",IT,Decreasing,Low,124216.95,Master’s Degree,7,1609,3318,20.49,47.47,Canada,74.37
"Scientist, product/process development",Transportation,Increasing,Low,75762.58,Associate Degree,16,9572,8789,54.17,62.8,Germany,69.04
Newspaper journalist,Education,Increasing,Low,95393.08,Associate Degree,17,4000,488,34.56,0.0,USA,51.3
Estate agent,Healthcare,Decreasing,Moderate,84895.51,Associate Degree,11,8425,9957,47.52,54.85,India,34.02
Patent examiner,IT,Decreasing,High,141722.08,PhD,19,7979,1187,21.44,0.0,UK,28.84
Personnel officer,IT,Increasing,Moderate,98966.25,Master’s Degree,0,4645,7682,62.35,61.47,Canada,51.44
Quarry manager,Manufacturing,Increasing,Low,110066.28,Master’s Degree,17,9520,2760,6.58,0.0,Australia,77.25
Chiropodist,Entertainment,Decreasing,High,93217.63,Bachelor’s Degree,15,1720,2047,87.37,59.23,USA,65.75
Special educational needs teacher,Manufacturing,Decreasing,Moderate,102413.56,Associate Degree,13,8775,6572,6.3,5.74,UK,27.91
Museum education officer,Entertainment,Decreasing,Low,89633.27,PhD,2,7690,7651,1.31,76.39,India,62.22
"Programmer, systems",Entertainment,Decreasing,Low,68862.74,Associate Degree,2,6787,8168,92.98,97.4,Brazil,64.5
Financial adviser,Healthcare,Decreasing,Low,97436.8,Associate Degree,16,109,7904,64.42,0.0,Australia,33.55
Broadcast journalist,Finance,Decreasing,Moderate,131553.9,Master’s Degree,13,8041,8057,13.25,11.36,UK,21.02
Education administrator,Healthcare,Increasing,Low,85242.27,Bachelor’s Degree,0,2814,6456,45.47,7.78,China,44.05
"Engineer, communications",Education,Increasing,High,79744.16,Associate Degree,13,2323,7234,96.86,46.42,Australia,68.93
Estate agent,Finance,Decreasing,High,111659.36,Associate Degree,16,949,7472,17.21,23.68,Canada,26.53
Translator,IT,Increasing,Moderate,152582.42,PhD,20,1391,9890,54.24,26.39,Brazil,52.35
Patent examiner,Manufacturing,Increasing,Low,83533.66,Master’s Degree,0,7017,6966,24.81,41.72,Australia,44.43
"Therapist, occupational",Manufacturing,Increasing,Low,98454.85,Master’s Degree,14,1966,9258,4.83,82.0,USA,76.87
Print production planner,Transportation,Increasing,Moderate,92950.22,Master’s Degree,13,6626,5581,65.44,64.07,UK,54.64
Engineering geologist,Healthcare,Decreasing,Low,104559.39,PhD,2,6935,7846,45.6,22.42,China,57.86
Land/geomatics surveyor,Finance,Increasing,High,84358.68,Associate Degree,1,1570,769,50.79,92.49,Germany,49.16
Cartographer,Retail,Increasing,High,69432.78,Associate Degree,5,1289,2500,15.43,67.0,China,66.82
Pension scheme manager,IT,Increasing,Low,101812.0,Associate Degree,6,7375,9444,89.09,31.24,Brazil,73.84
Public house manager,Healthcare,Decreasing,Moderate,107643.12,Master’s Degree,10,7123,4465,66.1,23.66,UK,42.86
Hospital pharmacist,Education,Decreasing,High,98719.18,Master’s Degree,9,4070,3505,31.65,11.95,China,57.96
Retail merchandiser,Education,Increasing,Moderate,106832.44,Master’s Degree,17,5093,883,35.22,47.95,India,41.66
Records manager,Transportation,Decreasing,High,56871.09,High School,3,3053,9065,5.16,84.82,UK,42.62
Chiropodist,Manufacturing,Decreasing,Low,111120.61,PhD,20,5503,2150,37.82,77.33,India,75.94
Water quality scientist,Finance,Decreasing,High,97458.82,High School,11,3948,5654,88.06,4.82,Canada,68.33
"Conservator, furniture",Education,Decreasing,Low,59243.61,High School,1,5367,6325,0.49,28.55,Australia,26.18
Corporate treasurer,Manufacturing,Increasing,Moderate,109171.1,Bachelor’s Degree,19,8426,342,76.91,31.26,Australia,53.78
Leisure centre manager,Manufacturing,Decreasing,Moderate,85079.33,High School,9,762,6299,56.94,4.84,China,56.78
Orthoptist,IT,Decreasing,High,110868.57,High School,18,4222,8140,16.26,38.32,Canada,43.88
Mental health nurse,Retail,Increasing,Moderate,89693.52,Bachelor’s Degree,9,4347,717,11.0,17.05,Canada,71.25
Illustrator,Education,Decreasing,High,100683.83,PhD,2,5255,7565,74.66,0.0,UK,58.25
"Engineer, manufacturing systems",IT,Decreasing,Low,128349.28,PhD,17,7047,3251,18.87,49.24,India,67.73
Contracting civil engineer,Entertainment,Increasing,Moderate,81123.88,Bachelor’s Degree,0,620,835,95.09,49.34,Canada,43.32
Farm manager,Healthcare,Decreasing,High,94628.23,Bachelor’s Degree,17,4878,2745,19.01,81.38,India,64.25
Warehouse manager,Entertainment,Decreasing,High,90965.68,Bachelor’s Degree,14,8603,8634,5.5,49.31,Australia,25.48
Human resources officer,Entertainment,Increasing,Moderate,112554.44,PhD,14,5057,8939,19.98,34.97,India,33.61
Commissioning editor,Manufacturing,Decreasing,Moderate,85774.04,Associate Degree,7,6873,6537,19.14,34.63,China,69.15
Therapeutic radiographer,Healthcare,Increasing,High,107006.77,Master’s Degree,8,426,3796,85.72,0.0,Brazil,35.59
Health and safety adviser,Healthcare,Decreasing,High,84645.58,Master’s Degree,7,2506,6665,40.6,80.22,India,24.76
Art therapist,Education,Decreasing,High,110833.45,PhD,17,4974,6446,37.33,66.11,USA,54.93
Financial trader,Manufacturing,Decreasing,Moderate,93262.94,Bachelor’s Degree,18,1601,4430,64.38,79.36,Germany,47.69
Passenger transport manager,Transportation,Increasing,High,80972.26,Bachelor’s Degree,20,7097,1598,63.96,76.13,USA,29.01
Barista,Transportation,Increasing,Low,55356.34,High School,2,3841,3977,28.2,22.53,UK,56.4
"Teacher, music",IT,Decreasing,Low,113185.74,Bachelor’s Degree,9,1387,1291,14.91,40.15,Germany,46.24
Systems analyst,Entertainment,Decreasing,High,61484.3,High School,5,745,1470,67.71,71.88,UK,25.67
International aid/development worker,Manufacturing,Decreasing,Moderate,97614.72,Associate Degree,19,7275,7911,59.99,63.17,Canada,33.06
"Teacher, early years/pre",Manufacturing,Increasing,High,78927.0,High School,4,5146,197,69.36,10.38,China,62.4
Neurosurgeon,Transportation,Increasing,Moderate,90244.47,PhD,4,6476,5406,80.24,5.03,Brazil,77.25
Exhibition designer,Retail,Increasing,Moderate,82652.42,High School,14,8184,301,86.29,5.33,Germany,38.07
Naval architect,Education,Increasing,Low,81943.37,Master’s Degree,1,8418,4382,80.88,24.24,USA,75.69
Ambulance person,Finance,Decreasing,Low,107368.36,High School,15,5722,6746,44.04,44.18,USA,24.26
Garment/textile technologist,Manufacturing,Decreasing,High,97785.06,Bachelor’s Degree,7,5271,9268,2.43,17.9,India,26.54
"Surveyor, building",Entertainment,Increasing,Moderate,96602.5,High School,16,2275,2006,20.6,36.38,India,42.03
Fashion designer,Transportation,Decreasing,High,77956.03,Bachelor’s Degree,2,8919,7480,62.21,4.5,Australia,39.54
Academic librarian,Entertainment,Decreasing,Low,87262.2,Bachelor’s Degree,12,6371,6611,70.53,80.61,UK,59.68
Maintenance engineer,Education,Increasing,High,58328.51,High School,5,2510,6109,0.6,87.11,Canada,38.87
Tour manager,Finance,Decreasing,Moderate,84080.1,High School,5,4444,3928,96.93,79.99,Canada,25.65
Police officer,Education,Increasing,High,103536.12,Bachelor’s Degree,13,8402,8207,88.34,24.81,USA,67.13
"Engineer, water",Education,Increasing,High,86990.98,Associate Degree,20,8662,253,38.18,74.62,China,59.12
Barista,Manufacturing,Increasing,Low,91972.14,Master’s Degree,7,6082,6448,82.27,53.82,Brazil,37.28
"Editor, film/video",Education,Decreasing,High,84734.61,High School,16,3153,4619,48.42,0.0,Australia,57.86
"Social research officer, government",Education,Decreasing,Moderate,86315.2,Bachelor’s Degree,9,6100,6414,83.93,49.94,Germany,45.26
Theatre manager,Finance,Increasing,Low,98924.08,High School,4,1245,2992,5.83,17.24,China,73.05
Health physicist,IT,Decreasing,Low,113632.5,Associate Degree,18,7592,4935,79.2,42.94,China,60.97
"Geneticist, molecular",Finance,Decreasing,Moderate,79889.8,High School,0,3245,9971,1.38,7.79,China,57.26
Television camera operator,Healthcare,Decreasing,Low,110955.93,Master’s Degree,16,8716,378,59.88,0.0,Australia,23.78
Land,Education,Decreasing,High,94256.09,PhD,1,2132,8879,6.6,26.54,USA,21.12
Social worker,Retail,Decreasing,Low,83430.69,Associate Degree,8,6549,5273,63.5,2.4,Germany,76.9
Arboriculturist,Finance,Decreasing,Moderate,88694.3,High School,4,115,9306,62.76,43.53,Australia,32.24
Ecologist,Entertainment,Increasing,High,61763.07,High School,1,5221,8943,28.31,59.69,UK,44.91
"Designer, blown glass/stained glass",Manufacturing,Increasing,High,82326.47,Bachelor’s Degree,4,9842,9875,14.94,40.71,UK,23.13
Television camera operator,Manufacturing,Increasing,High,127500.07,PhD,20,3840,276,69.04,4.05,Canada,39.22
"Administrator, local government",Finance,Decreasing,Low,98190.47,PhD,2,7779,9491,1.06,71.33,USA,68.65
Diagnostic radiographer,Entertainment,Increasing,Moderate,79550.02,High School,18,869,2488,9.56,89.28,Australia,69.73
Hotel manager,Transportation,Increasing,Moderate,81484.05,Bachelor’s Degree,4,8097,8850,18.88,33.2,China,42.81
Chief Financial Officer,Finance,Increasing,Moderate,91322.57,Bachelor’s Degree,5,5119,7920,42.32,79.87,Brazil,23.47
Professor Emeritus,Finance,Decreasing,Low,99627.54,High School,8,318,2817,90.71,24.54,USA,25.74
Health service manager,Healthcare,Decreasing,Moderate,89408.53,Master’s Degree,7,9305,9219,13.91,75.95,Brazil,54.4
Psychiatrist,Finance,Decreasing,Moderate,91487.0,High School,11,2566,7299,50.44,85.74,China,78.98
Public relations officer,Retail,Increasing,Moderate,95226.92,PhD,10,1129,5020,41.56,56.77,Brazil,75.78
Dance movement psychotherapist,Healthcare,Decreasing,Moderate,104548.79,Bachelor’s Degree,13,2205,8418,94.68,9.67,India,66.28
Make,Manufacturing,Decreasing,High,77238.99,Bachelor’s Degree,2,5853,3183,70.96,45.08,UK,62.18
Therapeutic radiographer,Education,Decreasing,High,72313.96,High School,5,9767,1576,54.58,34.52,Germany,67.35
"Surveyor, insurance",Manufacturing,Increasing,Moderate,90040.34,Bachelor’s Degree,4,8058,9175,44.64,68.76,China,47.43
"Therapist, art",Transportation,Increasing,Moderate,62173.61,High School,11,4766,2348,68.76,83.59,India,65.51
"Engineer, chemical",Retail,Decreasing,Moderate,69756.61,Associate Degree,5,8547,8126,9.88,62.32,China,43.63
"Journalist, newspaper",Healthcare,Decreasing,High,85906.89,Bachelor’s Degree,12,6416,607,35.69,90.38,Canada,31.02
Insurance account manager,Healthcare,Increasing,Low,85642.33,Master’s Degree,5,8602,5746,52.24,75.9,UK,72.29
"Editor, commissioning",Retail,Increasing,Low,61526.3,High School,1,2690,3724,62.73,36.88,USA,31.75
Petroleum engineer,Retail,Increasing,Low,103975.2,Bachelor’s Degree,16,3515,628,34.29,27.72,Canada,51.08
"Psychologist, clinical",Transportation,Increasing,High,89782.85,Master’s Degree,11,1162,7635,17.17,71.26,Canada,71.42
"Therapist, drama",Entertainment,Decreasing,Low,89221.73,High School,17,8608,3915,0.35,12.48,China,76.26
"Nurse, children's",Finance,Decreasing,Moderate,128289.77,PhD,8,1234,1824,57.87,25.88,Brazil,24.13
Multimedia programmer,Entertainment,Decreasing,High,96484.5,PhD,16,8689,2222,43.01,83.03,Canada,30.84
Chiropractor,Healthcare,Decreasing,Low,96139.71,Bachelor’s Degree,13,8592,3145,5.69,58.85,Brazil,29.61
Health and safety inspector,Entertainment,Decreasing,High,103729.28,PhD,6,4479,3957,30.85,15.46,USA,60.75
"Surveyor, rural practice",Retail,Decreasing,High,94386.49,Master’s Degree,16,6705,4531,44.78,62.28,Germany,48.97
Sports therapist,Healthcare,Decreasing,Moderate,107020.36,Bachelor’s Degree,16,8148,7732,99.16,0.0,Germany,37.59
"Buyer, industrial",Entertainment,Decreasing,High,93191.5,Master’s Degree,9,9751,2266,0.2,30.8,India,76.84
Government social research officer,Education,Decreasing,High,91010.53,Bachelor’s Degree,19,9343,6160,54.88,86.35,Australia,46.96
"Engineer, biomedical",IT,Increasing,Moderate,135051.12,PhD,15,9698,7565,69.22,41.56,Australia,35.53
Technical sales engineer,Healthcare,Decreasing,Moderate,70632.07,High School,6,5751,2067,66.75,65.33,Canada,27.82
"Administrator, local government",Education,Increasing,Low,63161.96,High School,0,9887,4796,55.42,6.75,Canada,30.76
Speech and language therapist,Transportation,Decreasing,Moderate,88876.69,Associate Degree,14,4897,112,9.84,0.0,UK,36.32
Diagnostic radiographer,Manufacturing,Increasing,Low,106404.37,High School,19,7634,2970,20.24,34.64,Germany,52.05
Oncologist,Education,Decreasing,Moderate,106531.12,Associate Degree,20,7667,8968,65.99,0.0,USA,62.72
"Lighting technician, broadcasting/film/video",Healthcare,Increasing,High,96329.62,Bachelor’s Degree,10,5485,7402,7.07,9.55,USA,79.09
Building surveyor,Education,Decreasing,Low,77351.85,Associate Degree,11,7991,6757,40.46,90.05,USA,35.93
Charity fundraiser,Education,Increasing,Low,71903.83,High School,10,5295,3886,30.5,48.29,UK,72.23
Interpreter,Retail,Decreasing,Moderate,73134.02,Associate Degree,0,2039,6277,51.66,27.21,Australia,34.27
Sports administrator,Education,Increasing,Low,109311.77,Bachelor’s Degree,18,8584,5373,56.62,10.52,China,26.1
Horticultural therapist,Manufacturing,Increasing,Moderate,104111.44,PhD,11,9444,7355,20.39,64.59,Australia,75.8
Health and safety adviser,Finance,Increasing,Moderate,145479.76,PhD,19,608,9987,84.9,0.0,Brazil,33.26
Fitness centre manager,Healthcare,Decreasing,Moderate,69152.15,High School,7,7691,7975,22.07,58.6,China,75.24
Pharmacologist,Healthcare,Decreasing,Moderate,89277.18,High School,10,4985,8894,54.97,45.13,China,58.89
Garment/textile technologist,Finance,Increasing,Moderate,133848.06,Bachelor’s Degree,20,7985,8205,70.08,41.57,UK,67.71
"Engineer, civil (consulting)",Finance,Decreasing,High,102482.08,Master’s Degree,1,2896,9862,71.08,47.83,India,45.96
Toxicologist,Education,Increasing,Low,110107.52,PhD,13,6419,3381,89.37,34.92,Brazil,68.11
Lexicographer,Education,Increasing,Low,75402.58,Associate Degree,13,6279,1222,99.29,81.95,India,47.33
Occupational therapist,Retail,Increasing,Moderate,67803.57,High School,8,1623,8449,30.05,91.02,India,20.73
Immunologist,Finance,Decreasing,Moderate,95251.55,High School,4,6380,5795,33.79,23.88,Australia,53.56
"Engineer, materials",Manufacturing,Increasing,Low,86136.32,Bachelor’s Degree,12,5164,2930,67.22,71.7,UK,73.14
"Designer, blown glass/stained glass",Transportation,Increasing,Low,77291.02,PhD,1,8989,2895,59.81,89.07,China,49.24
Personal assistant,Transportation,Increasing,Low,88404.35,PhD,8,1115,7692,14.14,80.72,UK,25.4
"Engineer, petroleum",IT,Decreasing,Moderate,117630.54,Bachelor’s Degree,11,1079,5901,85.22,30.13,USA,45.06
"Scientist, marine",Healthcare,Decreasing,High,83201.35,High School,18,7602,1102,63.47,81.37,UK,73.26
Meteorologist,Transportation,Decreasing,Low,81723.87,High School,16,2903,6139,97.05,53.19,Germany,54.93
Magazine journalist,Transportation,Decreasing,High,72590.03,PhD,1,9899,8378,95.12,63.35,India,34.99
Optometrist,Entertainment,Decreasing,High,85670.38,PhD,1,352,2817,75.76,46.18,China,74.77
Corporate investment banker,IT,Decreasing,Moderate,119676.11,Associate Degree,6,1622,4667,17.79,28.73,Canada,62.8
Video editor,Manufacturing,Decreasing,High,109472.48,PhD,7,8303,9896,63.2,29.53,USA,20.68
"Therapist, occupational",Entertainment,Increasing,Moderate,96869.84,Bachelor’s Degree,8,6168,9035,59.65,27.78,USA,73.49
"Teacher, early years/pre",Finance,Decreasing,Low,109678.41,Master’s Degree,6,2313,1253,74.91,60.56,Canada,34.83
Health promotion specialist,Entertainment,Increasing,High,66729.17,High School,12,2167,7414,65.51,73.36,Brazil,48.35
Clinical research associate,Transportation,Increasing,Moderate,87756.03,Master’s Degree,15,4359,4273,69.72,68.79,Germany,78.35
Phytotherapist,Entertainment,Decreasing,High,57043.26,High School,2,868,122,26.43,83.55,UK,31.13
Tourist information centre manager,Transportation,Decreasing,High,88710.15,Bachelor’s Degree,11,6407,1528,69.53,34.74,Germany,76.99
Newspaper journalist,Healthcare,Decreasing,Moderate,105937.71,PhD,10,7658,621,88.26,90.32,Canada,49.05
Equities trader,Finance,Decreasing,Moderate,97538.22,Bachelor’s Degree,14,4532,8454,3.36,77.85,India,79.03
Drilling engineer,Transportation,Increasing,Moderate,81402.81,Bachelor’s Degree,3,3191,1309,75.48,45.44,China,33.01
Microbiologist,Transportation,Increasing,Low,63527.01,Bachelor’s Degree,0,6120,5457,73.99,74.29,Germany,21.74
"Designer, interior/spatial",Retail,Decreasing,High,84006.64,PhD,5,3180,1973,76.2,66.2,Brazil,31.91
"Accountant, chartered management",IT,Increasing,Low,126326.08,Associate Degree,15,7572,3519,62.79,49.5,Canada,72.96
Commissioning editor,Healthcare,Increasing,Moderate,99403.29,High School,19,6289,9276,43.66,0.0,Germany,50.55
Research scientist (medical),Finance,Increasing,Low,123482.53,PhD,8,3679,7316,76.21,18.14,USA,33.75
Interpreter,Retail,Increasing,High,77956.51,Associate Degree,18,1436,4098,74.44,83.28,India,67.14
"Designer, graphic",Transportation,Increasing,Low,72047.14,Associate Degree,4,6456,608,94.4,50.23,Germany,48.64
"Embryologist, clinical",Transportation,Increasing,High,85355.89,Associate Degree,14,526,6066,77.54,6.29,Brazil,37.71
Community arts worker,Finance,Increasing,High,90143.77,Associate Degree,7,8104,2159,23.33,78.99,Germany,61.46
"Producer, radio",Manufacturing,Increasing,High,73559.47,Associate Degree,2,9063,1016,99.57,54.88,India,79.67
Education administrator,Finance,Decreasing,Low,126063.93,Master’s Degree,3,7222,6247,78.44,0.0,UK,58.03
Company secretary,Finance,Decreasing,High,119228.95,Bachelor’s Degree,10,2089,4560,83.94,27.15,Australia,66.35
Youth worker,Entertainment,Increasing,High,112057.68,PhD,13,3006,6312,82.3,6.72,Canada,30.24
Passenger transport manager,Finance,Decreasing,Low,120318.39,Associate Degree,18,1230,4065,24.62,39.84,Canada,70.11
Warden/ranger,Finance,Decreasing,Low,114383.68,PhD,2,9327,1782,16.8,25.75,India,65.92
Financial risk analyst,IT,Increasing,High,132662.07,Master’s Degree,17,4893,1057,88.93,0.0,India,33.0
Medical laboratory scientific officer,Entertainment,Decreasing,Moderate,84293.86,Associate Degree,18,5556,2055,80.45,87.5,Australia,26.98
Sports therapist,Entertainment,Decreasing,Moderate,108198.9,Master’s Degree,18,7727,2242,22.15,55.14,India,62.83
"Investment banker, corporate",Healthcare,Increasing,Moderate,104067.76,Bachelor’s Degree,14,2998,6924,25.49,10.38,UK,52.77
Trade mark attorney,IT,Increasing,Moderate,104310.13,High School,10,1606,7414,91.16,30.68,India,53.8
Veterinary surgeon,Education,Increasing,High,104343.32,PhD,13,7504,7374,40.73,43.8,India,24.73
"Accountant, chartered public finance",Healthcare,Increasing,Moderate,89910.07,Associate Degree,7,5333,525,31.69,34.07,Australia,73.95
Horticultural therapist,Finance,Increasing,Low,112156.53,Bachelor’s Degree,18,4193,1792,86.87,78.2,Canada,47.03
Press photographer,Education,Increasing,Low,86957.53,Master’s Degree,4,1393,1746,36.5,28.24,Canada,60.64
Television production assistant,Entertainment,Increasing,Low,88399.47,Master’s Degree,6,4277,132,73.5,82.31,Australia,32.41
Database administrator,Education,Decreasing,Low,110462.04,PhD,7,5720,1122,70.24,20.95,Brazil,42.43
Commercial horticulturist,Finance,Increasing,High,85855.58,High School,4,5314,9869,86.0,53.06,Germany,70.86
"Education officer, environmental",Retail,Decreasing,Low,93000.62,Associate Degree,15,7440,5983,35.31,38.03,Australia,72.51
Sales executive,Retail,Decreasing,High,70931.18,High School,16,5497,7039,24.49,86.75,Australia,28.2
Technical sales engineer,Transportation,Increasing,Moderate,69479.24,High School,7,2042,7568,76.21,22.69,UK,42.34
Mechanical engineer,Entertainment,Decreasing,Moderate,101145.61,Bachelor’s Degree,12,1079,304,25.75,0.0,Brazil,27.05
Retail manager,Manufacturing,Increasing,High,111572.72,Master’s Degree,15,2058,4859,27.46,14.46,China,25.79
Health and safety inspector,Manufacturing,Decreasing,High,103975.59,Master’s Degree,10,761,4011,74.19,30.46,Germany,53.62
"Investment banker, operational",Healthcare,Decreasing,Low,70002.24,High School,0,2801,3404,57.71,53.18,Canada,36.27
Sport and exercise psychologist,Manufacturing,Decreasing,Low,94701.09,High School,17,7021,4652,88.22,13.31,China,47.03
Claims inspector/assessor,Transportation,Increasing,High,93249.3,Master’s Degree,6,6186,4988,80.05,37.26,India,44.84
"Designer, graphic",IT,Decreasing,Moderate,99300.92,Bachelor’s Degree,7,2219,1878,28.57,73.82,Germany,56.13
Minerals surveyor,Finance,Increasing,Moderate,137683.36,PhD,14,6918,3326,80.81,35.97,Brazil,53.04
Human resources officer,Finance,Increasing,High,98520.06,Bachelor’s Degree,11,2131,1105,54.89,86.51,Canada,61.0
Manufacturing systems engineer,Entertainment,Decreasing,Low,91674.2,High School,19,745,5143,46.96,49.39,Australia,56.93
Illustrator,Finance,Decreasing,High,98880.46,High School,7,735,5273,97.69,0.0,Germany,40.22
Youth worker,Transportation,Increasing,High,69920.56,High School,8,7295,7342,82.47,12.26,Australia,50.61
Nature conservation officer,Retail,Increasing,Moderate,85819.16,Associate Degree,6,1200,8161,12.93,4.97,Canada,41.12
Translator,Finance,Increasing,Low,105334.01,Associate Degree,2,3947,4575,13.97,33.1,Germany,31.46
Illustrator,Healthcare,Increasing,Low,95756.29,Master’s Degree,13,4862,6505,48.18,73.51,India,54.91
Patent examiner,Transportation,Decreasing,Moderate,84768.83,PhD,6,4467,6778,74.23,79.21,Germany,43.55
"Administrator, sports",Transportation,Increasing,Moderate,90109.84,Bachelor’s Degree,5,3432,6733,46.26,34.1,USA,64.94
"Psychologist, occupational",Finance,Increasing,Moderate,107730.92,Bachelor’s Degree,17,2629,4326,34.41,80.18,Canada,71.73
"Designer, industrial/product",IT,Increasing,High,128206.3,PhD,6,7932,4747,94.64,0.0,Canada,54.7
Podiatrist,IT,Increasing,High,149092.49,PhD,16,8432,569,56.43,16.97,China,52.05
"Designer, multimedia",Entertainment,Increasing,High,93140.99,Bachelor’s Degree,13,8856,6591,56.64,32.94,Canada,68.48
Building surveyor,Manufacturing,Decreasing,Moderate,111689.59,PhD,18,2062,163,37.9,35.95,Brazil,43.82
"Conservation officer, nature",Finance,Increasing,High,119907.79,Bachelor’s Degree,13,3303,5320,48.56,4.49,China,47.91
Community education officer,IT,Increasing,Moderate,94852.98,Associate Degree,6,7011,8215,5.61,14.15,UK,54.09
"Production assistant, radio",Finance,Increasing,High,110885.92,Associate Degree,15,5513,3419,65.53,23.58,Canada,42.84
Mechanical engineer,Manufacturing,Decreasing,Moderate,85165.01,Bachelor’s Degree,11,5441,753,5.62,78.43,Australia,47.44
Television/film/video producer,Finance,Increasing,Moderate,109723.62,Bachelor’s Degree,7,9252,8966,65.84,40.15,China,37.46
Insurance underwriter,IT,Increasing,High,99507.39,Associate Degree,0,7333,1541,79.8,18.38,UK,79.33
Waste management officer,Entertainment,Increasing,High,100946.4,Master’s Degree,12,8950,4761,89.11,0.0,Brazil,61.38
"Engineer, energy",Entertainment,Decreasing,Moderate,98204.54,PhD,1,7335,6947,34.55,27.31,Canada,49.01
Travel agency manager,IT,Decreasing,Moderate,96991.11,Master’s Degree,0,7766,5411,94.14,92.92,Australia,76.84
Air cabin crew,IT,Increasing,High,91724.22,Associate Degree,4,6394,2420,97.7,49.13,Brazil,63.01
"Conservation officer, nature",Education,Increasing,High,90444.2,Associate Degree,14,5532,6827,15.76,4.04,UK,22.19
Counselling psychologist,Healthcare,Decreasing,High,88647.28,High School,10,5392,4723,28.52,35.42,UK,73.07
Cytogeneticist,Retail,Decreasing,Low,89276.27,PhD,10,2227,1708,80.69,78.97,Brazil,47.42
